Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-03-28,69469.99000000,71552.06000000,68903.62000000,70780.60000000,35439.03239000,1711670399999,2500571208.00262760,1799897,18007.26883000,1270852446.70774510,0
2024-03-29,70780.60000000,70916.16000000,69009.00000000,69850.54000000,25445.08353000,1711756799999,1779608477.32245370,1522607,11839.09290000,828039936.68545330,0
2024-03-30,69850.53000000,70321.10000000,69540.00000000,69582.18000000,13644.61142000,1711843199999,954555919.68557450,1110488,6423.89367000,449436189.73361900,0
2024-03-31,69582.17000000,71366.00000000,69562.99000000,71280.01000000,19396.34433000,1711929599999,1367523707.26124510,1181926,10142.47988000,715151368.94630210,0
2024-04-01,71280.00000000,71288.23000000,68062.86000000,69649.80000000,41445.32039000,1712015999999,2876486469.46552290,1893438,20211.15024000,1402849944.78228910,0
2024-04-02,69649.81000000,69674.23000000,64550.00000000,65463.99000000,71799.82793000,1712102399999,4750030717.92242550,2662410,35520.17401000,2348263612.30347050,0
2024-04-03,65463.99000000,66903.63000000,64493.07000000,65963.28000000,39887.21778000,1712188799999,2630556596.13592860,2172096,20618.58747000,1360363531.16595170,0
2024-04-04,65963.27000000,69309.91000000,65064.52000000,68487.79000000,41510.48453000,1712275199999,2795469450.57238580,2000945,21013.32173000,1415699952.03815850,0
2024-04-05,68487.80000000,68756.67000000,65952.56000000,67820.62000000,37915.23073000,1712361599999,2555458935.23600890,1901980,18889.98453000,1273220222.76258870,0
2024-04-06,67820.63000000,69692.00000000,67447.83000000,68896.00000000,20134.28919000,1712447999999,1373131967.76481860,1171460,9973.86412000,680800856.20965050,0
2024-04-07,68896.00000000,70326.29000000,68824.00000000,69360.39000000,21534.74433000,1712534399999,1496213373.18557760,1269048,11149.90398000,774906774.52828120,0
2024-04-08,69360.38000000,72797.99000000,69043.24000000,71881.49000000,40640.39219000,1712620799999,2906013411.45870860,1809135,22637.61425000,1619408666.50384670,0
