timestamp,open,high,low,close,volume,diff,direction,ushadow_width,lshadow_width,body_per,upper_per,lower_per,slope,trend,previous_trend,bearish_harami,inverted_hammer,bullish_harami,hammer,bearish_engulfing,bullish_engulfing,hanging_man,shooting_star,morning,evening,bearish_harami,bullish_harami,hammer,inverted_hammer,bearish_engulfing,hanging_man,bullish_engulfing,shooting_star,morning,evening
14.08.2018 04:00:00.000,0.72735,0.72815,0.7258,0.72709,24106.4395,-0.000260000000000038,-1.0,0.0007999999999999119,0.0012900000000000134,18.627450980392155,74.50980392156862,90.19607843137254,-4.7142857142844776e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.08.2018 08:00:00.000,0.72708,0.72742,0.72521,0.72653,25026.3302,-0.0005499999999999394,-1.0,0.00034000000000000696,0.0013199999999999878,43.13725490196078,47.05882352941176,90.19607843137254,-5.14285714285594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.08.2018 12:00:00.000,0.72653,0.72673,0.72358,0.72383,29536.2706,-0.0027000000000000357,-1.0,0.00019999999999997797,0.00024999999999997247,92.15686274509804,27.45098039215686,36.27450980392157,-0.0002974999999999981,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.08.2018 16:00:00.000,0.72383,0.72403,0.72239,0.72372,19550.1799,-0.00010999999999994348,-1.0,0.00019999999999997797,0.0013300000000000534,3.9215686274509802,28.431372549019606,90.19607843137254,-0.000512500000000003,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.08.2018 20:00:00.000,0.72372,0.72425,0.7235,0.72352,4597.6801000000005,-0.00019999999999997797,-1.0,0.0005299999999999194,2.0000000000020002e-05,13.72549019607843,63.725490196078425,9.80392156862745,-0.000698214285714284,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.08.2018 00:00:00.000,0.72352,0.7236,0.72021,0.72094,17185.689899999998,-0.0025800000000000267,-1.0,7.999999999996898e-05,0.0007300000000000084,90.19607843137254,5.88235294117647,66.66666666666666,-0.0010421428571428565,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.08.2018 04:00:00.000,0.72095,0.7235,0.72059,0.72255,22426.9795,0.0016000000000000458,1.0,0.0009500000000000064,0.00036000000000002697,78.4313725490196,76.47058823529412,43.13725490196078,-0.0008967857142857089,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.08.2018 08:00:00.000,0.72256,0.72322,0.72119,0.72236,27873.0996,-0.00019999999999997797,-1.0,0.0006599999999999939,0.0011700000000000044,14.705882352941176,68.62745098039215,83.33333333333333,-0.0006374999999999971,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.08.2018 12:00:00.000,0.72236,0.7236,0.72082,0.72322,34579.8393,0.0008599999999999719,1.0,0.00038000000000004697,0.0015399999999999858,62.745098039215684,52.94117647058823,91.17647058823529,-0.00019714285714286008,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.08.2018 16:00:00.000,0.72323,0.72474,0.72304,0.72356,18648.63,0.00032999999999994145,1.0,0.0011800000000000699,0.00019000000000002348,27.45098039215686,90.19607843137254,29.41176470588235,1.2142857142845528e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
